chr1_565160_565494	chr1_565106_565543
chr1_2158533_2164794	chr1_2162318_2163695
chr1_2165452_2166730	chr1_2165527_2166624
chr1_2177420_2178564	chr1_2177443_2178564
chr1_2186546_2188232	chr1_2186679_2187983
chr1_2190375_2190885	chr1_2190471_2190828
chr1_2221504_2223034	chr1_2221654_2222958
chr1_2230175_2233359	chr1_2231528_2233209
chr1_2242629_2245029	chr1_2242754_2244674
chr1_2245742_2247285	chr1_2245981_2247309
chr1_2313118_2314377	chr1_2312975_2314148
chr1_2322408_2323717	chr1_2322557_2323698
chr1_2343430_2346283	chr1_2343532_2344796
chr1_2343430_2346283	chr1_2345565_2346241
chr1_2347095_2348214	chr1_2347210_2347601
chr1_2398650_2400540	chr1_2399459_2399703
chr1_2398650_2400540	chr1_2400313_2400430
chr1_2406511_2406868	chr1_2405965_2406849
chr1_2425145_2425736	chr1_2425155_2425554
chr1_2427095_2428132	chr1_2427619_2428082
chr1_2431240_2431910	chr1_2430868_2431840
chr1_2457236_2458569	chr1_2457258_2458569
chr1_2460405_2461735	chr1_2460432_2461140
chr1_2470778_2471160	chr1_2470793_2471178
chr1_2474938_2475273	chr1_2475039_2475212
chr1_2477169_2480832	chr1_2477180_2481193
chr1_2486285_2488722	chr1_2486263_2488709
chr1_2493353_2493706	chr1_2493348_2493754
chr1_2509077_2510276	chr1_2508975_2510256
chr1_2515591_2515647	chr1_2515543_2518966
chr1_2516580_2518977	chr1_2515543_2518966
chr1_2542688_2543030	chr1_2542740_2542984
chr1_2573771_2575026	chr1_2573826_2575003
chr1_2583690_2586363	chr1_2583639_2587733
chr1_2587042_2587650	chr1_2583639_2587733
chr1_2615349_2615807	chr1_2614740_2616501
chr1_2620912_2623263	chr1_2620853_2623659
chr1_2628927_2629732	chr1_2628843_2631730
chr1_2688860_2689468	chr1_2688797_2689389
chr1_2703165_2703598	chr1_2703202_2704067
chr1_2717929_2718848	chr1_2718125_2718726
chr1_2726219_2726301	chr1_2726224_2726500
chr1_2735150_2736204	chr1_2735345_2735551
chr1_2735150_2736204	chr1_2736073_2736297
chr1_2738475_2738929	chr1_2738504_2739497
chr1_2756554_2757423	chr1_2756750_2757278
chr1_2779675_2780042	chr1_2779958_2779963
chr1_2810388_2810397	chr1_2810211_2810602
chr1_2816395_2816636	chr1_2816227_2816469
chr1_2843533_2844359	chr1_2843568_2843829
chr1_2870627_2870847	chr1_2870444_2871016
chr1_2929078_2929443	chr1_2929343_2929364
chr1_3087254_3087384	chr1_3087083_3087322
chr1_3092703_3092724	chr1_3092625_3092706
chr1_3186965_3187621	chr1_3187282_3187416
chr1_3229625_3230043	chr1_3229828_3229862
chr1_3233071_3233682	chr1_3233082_3233582
chr1_3236480_3236881	chr1_3236470_3236881
chr1_3238187_3238587	chr1_3238433_3238579
chr1_3274543_3274611	chr1_3274495_3274987
chr1_3281888_3281901	chr1_3281838_3282068
chr1_3284930_3284941	chr1_3284877_3285050
chr1_3288918_3289438	chr1_3288829_3289360
chr1_3300958_3301478	chr1_3300896_3301289
chr1_3323852_3323935	chr1_3323913_3323920
chr1_3341242_3341607	chr1_3341198_3341655
chr1_3369628_3370129	chr1_3369648_3370088
chr1_3390621_3390954	chr1_3390445_3391094
chr1_3393700_3394098	chr1_3393678_3394096
chr1_3400407_3400801	chr1_3400394_3400812
chr1_3407714_3408394	chr1_3407714_3408438
chr1_3418436_3418802	chr1_3418512_3418797
chr1_3447157_3448492	chr1_3447289_3448559
chr1_3481751_3482192	chr1_3481779_3482166
chr1_3514008_3514461	chr1_3514057_3514366
chr1_3535487_3536048	chr1_3535496_3536137
chr1_3540737_3542385	chr1_3540839_3542142
chr1_3566227_3566954	chr1_3566255_3566938
chr1_3568852_3569291	chr1_3568977_3569603
chr1_3582727_3583259	chr1_3582456_3584201
chr1_3585385_3585785	chr1_3585442_3585741
chr1_3593501_3594525	chr1_3593412_3594516
chr1_3612159_3612560	chr1_3612098_3612582
chr1_3634720_3634903	chr1_3634681_3634757
chr1_3640907_3641323	chr1_3640932_3641350
chr1_3663505_3664281	chr1_3663519_3664261
chr1_3688425_3690062	chr1_3688465_3689676
chr1_3692238_3692932	chr1_3692111_3692867
chr1_3703874_3704469	chr1_3703869_3704469
chr1_3712610_3713587	chr1_3712642_3713545
chr1_3726679_3727197	chr1_3726708_3727126
chr1_3773136_3774765	chr1_3773221_3774938
chr1_3806542_3806886	chr1_3806438_3808050
chr1_3807397_3808053	chr1_3806438_3808050
chr1_3816122_3819475	chr1_3816016_3818275
chr1_3827290_3827771	chr1_3827292_3827732
chr1_3838718_3839242	chr1_3838858_3839188
chr1_4067655_4067861	chr1_4067634_4068060
chr1_4087510_4088060	chr1_4087510_4088065
chr1_4204454_4204816	chr1_4204478_4204630
chr1_4663469_4663820	chr1_4663501_4663918
chr1_4712726_4712954	chr1_4712654_4713012
chr1_4796268_4796723	chr1_4796332_4796670
chr1_5408906_5409153	chr1_5408912_5409223
chr1_5445496_5445900	chr1_5445604_5445808
chr1_5448980_5449626	chr1_5449169_5449469
chr1_5483267_5483353	chr1_5483264_5483572
chr1_5569882_5570307	chr1_5569896_5570297
chr1_5658903_5658948	chr1_5658896_5658934
chr1_5726844_5728363	chr1_5726961_5727748
chr1_5726844_5728363	chr1_5728344_5728346
chr1_5730865_5732952	chr1_5730681_5731051
chr1_5730865_5732952	chr1_5731602_5732882
chr1_5805816_5806267	chr1_5805858_5806188
chr1_6035228_6035612	chr1_6035218_6035945
chr1_6051431_6055236	chr1_6051579_6053129
chr1_6051431_6055236	chr1_6054712_6055186
chr1_6085880_6088931	chr1_6085522_6088872
chr1_6094532_6094857	chr1_6094496_6094888
chr1_6168875_6169263	chr1_6168909_6169252
chr1_6187654_6188345	chr1_6187736_6188245
chr1_6208609_6209117	chr1_6208713_6209009
chr1_6259021_6260119	chr1_6259067_6260096
chr1_6265197_6266578	chr1_6265992_6266364
chr1_6268783_6270006	chr1_6269266_6269487
chr1_6295441_6296459	chr1_6295556_6296404
chr1_6305033_6305672	chr1_6305080_6305548
chr1_6306712_6307215	chr1_6306712_6307195
chr1_6319794_6321566	chr1_6319907_6321425
chr1_6353985_6355396	chr1_6354019_6355380
chr1_6403439_6403918	chr1_6403467_6403902
chr1_6407942_6409750	chr1_6407950_6409189
chr1_6418526_6420241	chr1_6418831_6420230
chr1_6423291_6423480	chr1_6423164_6423524
chr1_6425056_6425617	chr1_6425113_6425551
chr1_6452678_6454415	chr1_6452897_6454460
chr1_6464695_6465139	chr1_6464731_6465101
chr1_6483452_6484110	chr1_6483479_6483910
chr1_6498031_6498516	chr1_6498057_6498521
chr1_6500255_6501064	chr1_6500362_6500727
chr1_6504932_6505525	chr1_6504909_6505525
chr1_6507787_6509600	chr1_6508210_6508532
chr1_6519695_6521113	chr1_6519811_6520889
chr1_6524592_6526537	chr1_6525408_6526459
chr1_6535491_6536023	chr1_6535511_6536011
chr1_6546276_6546970	chr1_6546122_6546970
chr1_6549865_6551281	chr1_6549875_6551122
chr1_6554925_6554972	chr1_6554937_6554946
chr1_6557300_6558013	chr1_6557453_6557851
chr1_6613977_6614931	chr1_6614121_6614935
chr1_6639493_6640991	chr1_6639641_6640760
chr1_6641855_6642425	chr1_6641984_6642385
chr1_6651211_6651627	chr1_6651216_6651679
chr1_6659494_6660193	chr1_6659684_6660193
chr1_6660834_6664312	chr1_6660841_6664119
chr1_6672760_6675048	chr1_6672816_6675058
chr1_6684747_6685927	chr1_6684803_6685891
chr1_6706556_6706934	chr1_6706549_6706934
chr1_6761414_6762423	chr1_6761465_6762299
chr1_6780060_6780413	chr1_6780104_6780381
chr1_6787556_6787892	chr1_6787525_6787881
chr1_6803076_6804289	chr1_6803713_6804017
chr1_6844160_6846565	chr1_6844176_6846164
chr1_7709038_7709451	chr1_7709393_7709435
chr1_7727531_7728074	chr1_7727531_7728218
chr1_7729477_7729975	chr1_7729472_7729960
chr1_7740136_7740967	chr1_7740175_7741160
chr1_7764035_7765930	chr1_7764180_7765961
chr1_7830668_7831971	chr1_7830732_7831861
chr1_7843399_7844702	chr1_7843478_7844544
chr1_7846906_7846964	chr1_7846855_7847155
chr1_7962766_7963185	chr1_7962778_7963185
chr1_7990680_7991690	chr1_7990686_7991655
chr1_8002294_8003042	chr1_8002313_8002850
chr1_8009017_8009553	chr1_8009028_8009517
chr1_8013779_8014758	chr1_8013819_8014755
chr1_8021015_8022363	chr1_8021020_8022351
chr1_8035367_8035626	chr1_8035360_8035639
chr1_8042301_8042748	chr1_8042311_8042748
chr1_8075124_8075389	chr1_8075218_8075351
chr1_8085775_8086891	chr1_8086067_8086726
chr1_8166878_8167236	chr1_8166907_8167209
chr1_8173526_8173598	chr1_8173498_8173712
chr1_8212479_8213841	chr1_8212555_8213714
chr1_8229544_8230260	chr1_8229766_8230225
chr1_8242118_8243006	chr1_8242198_8242976
chr1_8284956_8285473	chr1_8285084_8285341
chr1_8343311_8343682	chr1_8343277_8343675
chr1_8374396_8374755	chr1_8374578_8374717
chr1_8377886_8378805	chr1_8377921_8378563
chr1_8408990_8409452	chr1_8408995_8409450
chr1_8442952_8443528	chr1_8443162_8443343
chr1_8455327_8456083	chr1_8455323_8456091
chr1_8457041_8457567	chr1_8457034_8457946
chr1_8469226_8469654	chr1_8469191_8469666
chr1_8482801_8485082	chr1_8483096_8485600
chr1_8487424_8488287	chr1_8487421_8488381
chr1_8490660_8491463	chr1_8491042_8491493
chr1_8498960_8499378	chr1_8498912_8499441
chr1_8532753_8533011	chr1_8532680_8533970
chr1_8533754_8533823	chr1_8532680_8533970
chr1_8556150_8557680	chr1_8555982_8557683
chr1_8570144_8570629	chr1_8570214_8570567
chr1_8585382_8586453	chr1_8585320_8586442
chr1_8621147_8621479	chr1_8621060_8621479
chr1_8689427_8690274	chr1_8689326_8690308
chr1_8712613_8712933	chr1_8712761_8712823
chr1_8720652_8720669	chr1_8720419_8720813
chr1_8724069_8724553	chr1_8724077_8724560
chr1_8761007_8761955	chr1_8761012_8761940
chr1_8762982_8763889	chr1_8762988_8763831
chr1_8772746_8773215	chr1_8772783_8773180
chr1_8876828_8878457	chr1_8876955_8878438
chr1_8889552_8890015	chr1_8889559_8889967
chr1_8908880_8909363	chr1_8908920_8909335
chr1_8919453_8919882	chr1_8919496_8919785
chr1_8922537_8922920	chr1_8922691_8922852
chr1_8933602_8934119	chr1_8933634_8934030
chr1_8936567_8940416	chr1_8936641_8937081
chr1_8936567_8940416	chr1_8937803_8939717
chr1_9022989_9023313	chr1_9023153_9023299
chr1_9030862_9031546	chr1_9031111_9031302
chr1_9048046_9048487	chr1_9048099_9048455
chr1_9065085_9065591	chr1_9065119_9065573
chr1_9129487_9130101	chr1_9129514_9130046
chr1_9170781_9171234	chr1_9170819_9171203
chr1_9188291_9190443	chr1_9188690_9189986
chr1_9202266_9202722	chr1_9202331_9202641
chr1_9223927_9224408	chr1_9223938_9224349
chr1_9241292_9242262	chr1_9241303_9241745
chr1_9256430_9256886	chr1_9256494_9256831
chr1_9293357_9295448	chr1_9294117_9295415
chr1_9299689_9300167	chr1_9299741_9300147
chr1_9327094_9327557	chr1_9327104_9327522
chr1_9335531_9336008	chr1_9335536_9336066
chr1_9349091_9349410	chr1_9349182_9349390
chr1_9352481_9354081	chr1_9352670_9353177
chr1_9352481_9354081	chr1_9353686_9353862
chr1_9470877_9471413	chr1_9471086_9471252
chr1_9473130_9473944	chr1_9473203_9473805
chr1_9486076_9486986	chr1_9486281_9486888
chr1_9488556_9489562	chr1_9488727_9489406
chr1_9551071_9551476	chr1_9551084_9551476
chr1_9555199_9555755	chr1_9555278_9555645
chr1_9599047_9600508	chr1_9599066_9600367
chr1_9648350_9649911	chr1_9648374_9649761
chr1_9651410_9651780	chr1_9651235_9651755
chr1_9653431_9653968	chr1_9653460_9653926
chr1_9675594_9676060	chr1_9675600_9676001
chr1_9686086_9687820	chr1_9686138_9687913
chr1_9688644_9691022	chr1_9688882_9690661
chr1_9703930_9705137	chr1_9704798_9704882
chr1_9711473_9715743	chr1_9711581_9715792
chr1_9747079_9748099	chr1_9747278_9747979
chr1_9749022_9749861	chr1_9749096_9749825
chr1_9764719_9765186	chr1_9764779_9765124
chr1_9777190_9778306	chr1_9777404_9778246
chr1_9781748_9782211	chr1_9781794_9782196
chr1_9784824_9785498	chr1_9784999_9785480
chr1_9790503_9791086	chr1_9790595_9790965
chr1_9844596_9844985	chr1_9844605_9844956
chr1_9847670_9848146	chr1_9847304_9848200
chr1_9882908_9884912	chr1_9883027_9884632
chr1_9885418_9886119	chr1_9885465_9886094
chr1_9909925_9910867	chr1_9910062_9910851
chr1_9927461_9927987	chr1_9927462_9927977
chr1_9934866_9935351	chr1_9934866_9935347
chr1_9953208_9953620	chr1_9953252_9953539
chr1_9960322_9961096	chr1_9960334_9961011
chr1_9969503_9971454	chr1_9969441_9971454
chr1_10002416_10003891	chr1_10002411_10003767
chr1_10010293_10011417	chr1_10010032_10011435
chr1_10056987_10057411	chr1_10057061_10057349
chr1_10092443_10093833	chr1_10092480_10093665
chr1_10249784_10250039	chr1_10249739_10250087
chr1_10268571_10269060	chr1_10268573_10269104
chr1_10269894_10271313	chr1_10269947_10271139
chr1_10367921_10368452	chr1_10367990_10368365
chr1_10437401_10437834	chr1_10437415_10437850
chr1_10438478_10438895	chr1_10438653_10438748
chr1_10448143_10448737	chr1_10448167_10448554
chr1_10458303_10459884	chr1_10458386_10459793
chr1_10475104_10475825	chr1_10475206_10475724
chr1_10488040_10488525	chr1_10488060_10488518
chr1_10489884_10491392	chr1_10489995_10491192
chr1_10532042_10533005	chr1_10532150_10533021
chr1_10534667_10535644	chr1_10534698_10535481
chr1_10554655_10556425	chr1_10554657_10556347
chr1_10567397_10567872	chr1_10567410_10567867
chr1_10570524_10571705	chr1_10570788_10571539
chr1_10575891_10575947	chr1_10575893_10575987
chr1_10585048_10585776	chr1_10585120_10585747
chr1_10752351_10752850	chr1_10752358_10752855
chr1_10753627_10755500	chr1_10753631_10755499
chr1_10815871_10816436	chr1_10815953_10816354
chr1_10927047_10927692	chr1_10927095_10927584
chr1_10963746_10964155	chr1_10963918_10963989
chr1_10964767_10965302	chr1_10964915_10964977
chr1_10969918_10970397	chr1_10970001_10970378
chr1_10977805_10978549	chr1_10978029_10978468
chr1_11002011_11002412	chr1_11002068_11002387
chr1_11020970_11021498	chr1_11021013_11021477
chr1_11071811_11073492	chr1_11071839_11073466
chr1_11097607_11098109	chr1_11097613_11098080
chr1_11119436_11121472	chr1_11119500_11121406
chr1_11123258_11123286	chr1_11122988_11123479
chr1_11159270_11160389	chr1_11159295_11160341
chr1_11301743_11302149	chr1_11301725_11302102
chr1_11322205_11323148	chr1_11322311_11323148
chr1_11332674_11334003	chr1_11332788_11333932
chr1_11341007_11341431	chr1_11341069_11341367
chr1_11380252_11380364	chr1_11380230_11380571
chr1_11395301_11396069	chr1_11395232_11396163
chr1_11397581_11397931	chr1_11397565_11397927
chr1_11538647_11539598	chr1_11538672_11539478
chr1_11702405_11702897	chr1_11702427_11702885
chr1_11705712_11706172	chr1_11705721_11706172
chr1_11708911_11709240	chr1_11708809_11709296
chr1_11710112_11711096	chr1_11710163_11711061
chr1_11714280_11715297	chr1_11714313_11715180
chr1_11723944_11725350	chr1_11723955_11725202
chr1_11740587_11741952	chr1_11740629_11741913
chr1_11752935_11753616	chr1_11752979_11753635
chr1_11779175_11780247	chr1_11779186_11780242
chr1_11790179_11790848	chr1_11790179_11790838
chr1_11791759_11792160	chr1_11791843_11792082
chr1_11795687_11797431	chr1_11795845_11797328
chr1_11800787_11801260	chr1_11800936_11801183
chr1_11809135_11809621	chr1_11809150_11809601
chr1_11845129_11845623	chr1_11845161_11845614
chr1_11850826_11851371	chr1_11850798_11851383
chr1_11862997_11864058	chr1_11862691_11864001
chr1_11864910_11866933	chr1_11865098_11866753
chr1_11874881_11875355	chr1_11874848_11875566
chr1_11898644_11899136	chr1_11898650_11899136
chr1_11911345_11911657	chr1_11911463_11911487
chr1_11919289_11919714	chr1_11919295_11919693
chr1_11942986_11943336	chr1_11943000_11943185
chr1_11953952_11954409	chr1_11953997_11954408
chr1_11967647_11970406	chr1_11967662_11970390
chr1_11985989_11987000	chr1_11986061_11986895
chr1_11994262_11995223	chr1_11994380_11995181
chr1_12012824_12013092	chr1_12012781_12013094
chr1_12027239_12027466	chr1_12027171_12027479
chr1_12039753_12040939	chr1_12039817_12040911
chr1_12045869_12046320	chr1_12046143_12046193
chr1_12065574_12065868	chr1_12065538_12065896
chr1_12078948_12080609	chr1_12079019_12080526
chr1_12100345_12101134	chr1_12100348_12101056
chr1_12107205_12107927	chr1_12107146_12107951
chr1_12112195_12112286	chr1_12112106_12112448
chr1_12147746_12149156	chr1_12147819_12148166
chr1_12147746_12149156	chr1_12148689_12148875
chr1_12178622_12179026	chr1_12178620_12179038
chr1_12184827_12185455	chr1_12184829_12185986
chr1_12192860_12193661	chr1_12192880_12193722
chr1_12203015_12204302	chr1_12203244_12204268
chr1_12210384_12211283	chr1_12210457_12211249
chr1_12212007_12212574	chr1_12211987_12213938
chr1_12213083_12213844	chr1_12211987_12213938
chr1_12217479_12218352	chr1_12217352_12218222
chr1_12221417_12222589	chr1_12221587_12222568
chr1_12226713_12228615	chr1_12226718_12228203
chr1_12230455_12230683	chr1_12230282_12230810
chr1_12231540_12234351	chr1_12231558_12232748
chr1_12231540_12234351	chr1_12233337_12234336
chr1_12237485_12239684	chr1_12237501_12239691
chr1_12240303_12240862	chr1_12240467_12240711
chr1_12244076_12244819	chr1_12244109_12244789
chr1_12256626_12257238	chr1_12256667_12257163
chr1_12261602_12262162	chr1_12261427_12262258
chr1_12264219_12264478	chr1_12263166_12264650
chr1_12268829_12269612	chr1_12268720_12269612
chr1_12270384_12271194	chr1_12270349_12271194
chr1_12289736_12290690	chr1_12289736_12290873
chr1_12404620_12406048	chr1_12404684_12405771
chr1_12494218_12494735	chr1_12494240_12494680
chr1_12495734_12496125	chr1_12495636_12496172
chr1_12498451_12499004	chr1_12498446_12499071
chr1_12509364_12510093	chr1_12509479_12510000
chr1_12532925_12533688	chr1_12532925_12533673
chr1_12538302_12539103	chr1_12538206_12539084
chr1_12540986_12541210	chr1_12541155_12541349
chr1_12570390_12571317	chr1_12570663_12571166
chr1_12655163_12656914	chr1_12655056_12656279
chr1_12661198_12662350	chr1_12661921_12662345
chr1_12664087_12664846	chr1_12664265_12664802
chr1_12675605_12680909	chr1_12676607_12677185
chr1_12675605_12680909	chr1_12677799_12680850
chr1_12719002_12719394	chr1_12719035_12719357
chr1_13178610_13178936	chr1_13178898_13178913
chr1_13969096_13969556	chr1_13969023_13969881
chr1_13992103_13992609	chr1_13992094_13992669
chr1_13994249_13994669	chr1_13994165_13994751
chr1_14026268_14028190	chr1_14026268_14028279
chr1_14029132_14029831	chr1_14029070_14029907
chr1_14039962_14040358	chr1_14039576_14040499
chr1_14050223_14050731	chr1_14050301_14050619
chr1_14052328_14052752	chr1_14052259_14053489
chr1_14054818_14054948	chr1_14054601_14055052
chr1_14056928_14058095	chr1_14056860_14058087
chr1_14059479_14059920	chr1_14059474_14059920
chr1_14075164_14076663	chr1_14075216_14076577
chr1_14091464_14091787	chr1_14091467_14091825
chr1_14137715_14138136	chr1_14137708_14138106
chr1_14286900_14287271	chr1_14286893_14287261
chr1_15250330_15250824	chr1_15250441_15250598
chr1_15295628_15295879	chr1_15295478_15295920
chr1_15392130_15392986	chr1_15392368_15392374
chr1_15406822_15407155	chr1_15406925_15407020
chr1_15454950_15455426	chr1_15454955_15455430
chr1_15558064_15558606	chr1_15558229_15558439
chr1_15575462_15575948	chr1_15575483_15575933
chr1_15587577_15588400	chr1_15587674_15588122
chr1_15649963_15650447	chr1_15649977_15650447
chr1_15666841_15667247	chr1_15667009_15667138
chr1_15672312_15672876	chr1_15672325_15672849
chr1_15673678_15674042	chr1_15673692_15674032
chr1_15679027_15679330	chr1_15678994_15679317
chr1_15710811_15711274	chr1_15710920_15711164
chr1_15712547_15712831	chr1_15712576_15713086
chr1_15731826_15732255	chr1_15731830_15732221
chr1_15734120_15734469	chr1_15734110_15734468
chr1_15735514_15739119	chr1_15735526_15739095
chr1_15742390_15744461	chr1_15742387_15744439
chr1_15757574_15758091	chr1_15757580_15758080
chr1_15761199_15761675	chr1_15761380_15761586
chr1_15827938_15828272	chr1_15827926_15828262
chr1_15850260_15852126	chr1_15850353_15852104
chr1_15852767_15853922	chr1_15852766_15853869
chr1_15898426_15898433	chr1_15898228_15898802
chr1_15905498_15906198	chr1_15905582_15905983
chr1_15910918_15911758	chr1_15910930_15911718
chr1_15929581_15930644	chr1_15929631_15930569
chr1_15943222_15945391	chr1_15943227_15945294
chr1_16008378_16009190	chr1_16008270_16009198
chr1_16010549_16011755	chr1_16010555_16011725
chr1_16023294_16024198	chr1_16023274_16024096
chr1_16067806_16068273	chr1_16067793_16068290
chr1_16115263_16115546	chr1_16115085_16115862
chr1_16118472_16118925	chr1_16118479_16118898
chr1_16141985_16142383	chr1_16141969_16142391
chr1_16156219_16156743	chr1_16156204_16156705
chr1_16159762_16164237	chr1_16160657_16164304
chr1_16173436_16176717	chr1_16173452_16176770
chr1_16212663_16213252	chr1_16212678_16213435
chr1_16275811_16276888	chr1_16274346_16276876
chr1_16277682_16278083	chr1_16277439_16279552
chr1_16279332_16279521	chr1_16277439_16279552
chr1_16290606_16290609	chr1_16290504_16290849
chr1_16292512_16293210	chr1_16291602_16293210
chr1_16301854_16302910	chr1_16300846_16302900
chr1_16320968_16321437	chr1_16320982_16321432
chr1_16333657_16333665	chr1_16333091_16334020
chr1_16335490_16335918	chr1_16335475_16335916
chr1_16339229_16339937	chr1_16339223_16340038
chr1_16341416_16341648	chr1_16340784_16341830
chr1_16359270_16359759	chr1_16359252_16359763
chr1_16382338_16383053	chr1_16382182_16383021
chr1_16399904_16400448	chr1_16399914_16400586
chr1_16405296_16406048	chr1_16405297_16406093
chr1_16408798_16409194	chr1_16408786_16409213
chr1_16449340_16450594	chr1_16449250_16450686
chr1_16481108_16482577	chr1_16482217_16482401
chr1_16484440_16484987	chr1_16484530_16484954
chr1_16488276_16489297	chr1_16488884_16489168
chr1_16494081_16494755	chr1_16494115_16495796
chr1_16499555_16500231	chr1_16499621_16500046
chr1_16514180_16514661	chr1_16514198_16514666
chr1_16532611_16534207	chr1_16532658_16533885
chr1_16542629_16544522	chr1_16542628_16544401
chr1_16562576_16564750	chr1_16562572_16563989
chr1_16570821_16571294	chr1_16570821_16571296
chr1_16575374_16575379	chr1_16575266_16575418
chr1_16678312_16679550	chr1_16678356_16679519
chr1_16689871_16690256	chr1_16689870_16690210
chr1_16693248_16694964	chr1_16693263_16694713
chr1_16713716_16714194	chr1_16713838_16714239
chr1_16747020_16748025	chr1_16747125_16747714
chr1_16766704_16768179	chr1_16766835_16767991
chr1_16825154_16826218	chr1_16825207_16826178
chr1_16839016_16841348	chr1_16839937_16841252
chr1_16866920_16867301	chr1_16866920_16867144
chr1_16892381_16893898	chr1_16892407_16893896
chr1_16918306_16918602	chr1_16918300_16918613
